,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,initial_list_status,application_type
1,37632198,40395274,14000,14000,14000.0,1,18.54,359.49,E,20,Pharmacist,10,2,125000.0,Not Verified,20,1,https://lendingclub.com/browse/loanDetail.action?loan_id=37632198,,debt_consolidation,Debt consolidation,601xx,IL,26.3,0,Dec-94,0,13,0,70.3,26,1,INDIVIDUAL
15,79712903,85407684,3200,3200,3200.0,0,7.39,99.41,A,3,Quality Assurance Assistant,6,0,39978.0,Source Verified,3,1,https://lendingclub.com/browse/loanDetail.action?loan_id=79712903,,debt_consolidation,Debt consolidation,979xx,OR,16.7,0,Sep-04,0,9,0,77.4,25,1,INDIVIDUAL
26,23643444,26016357,18700,18700,18700.0,1,24.99,548.42,F,28,Team Cheif,10,0,55000.0,Source Verified,25,1,https://lendingclub.com/browse/loanDetail.action?loan_id=23643444,,other,Other,791xx,TX,13.86,0,Mar-05,3,3,0,57.2,8,1,INDIVIDUAL
38,35823615,38519067,5000,5000,5000.0,0,12.99,168.6,C,11,PERSONAL BANKER,3,1,42000.0,Source Verified,22,1,https://lendingclub.com/browse/loanDetail.action?loan_id=35823615,,credit_card,Credit card refinancing,330xx,FL,26.63,0,May-05,2,15,0,44.9,28,0,INDIVIDUAL
43,775388,977637,35000,21225,20525.12811,1,15.23,507.93,C,14,SOS Security Inc,8,2,95000.0,Verified,63,1,https://lendingclub.com/browse/loanDetail.action?loan_id=775388,I have a secure job as an executive in my company. I have excellent credit history and have incurred debt by starting a growing business. The business is doing well and I plan to use the Lending Club funds to consolidate my debt and ensure my financial stability.,debt_consolidation,Bright Spot,060xx,CT,8.0,0,Feb-98,1,9,0,51.1,36,0,INDIVIDUAL
50,12998660,15030825,12000,12000,12000.0,1,15.61,289.84,D,15,TCI-2,4,0,52500.0,Source Verified,17,1,https://lendingclub.com/browse/loanDetail.action?loan_id=12998660,,debt_consolidation,Debt consolidation,194xx,PA,23.55,0,Oct-04,1,6,0,75.6,18,1,INDIVIDUAL
62,24795827,27118682,10525,10525,10525.0,1,16.29,257.39,D,16,Attendance Secretary,9,0,30000.0,Source Verified,25,1,https://lendingclub.com/browse/loanDetail.action?loan_id=24795827,,other,Other,493xx,MI,21.54,0,Jun-99,1,10,1,60.3,12,1,INDIVIDUAL
82,1479695,1738206,15000,15000,15000.0,0,17.77,540.41,D,15,ApplianceSmart (ARCA Incorporated),9,2,40000.0,Not Verified,49,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1479695,,debt_consolidation,REFRESHER,430xx,OH,18.73,0,Oct-99,1,6,0,63.8,14,0,INDIVIDUAL
97,19386247,21599000,21550,21550,21550.0,1,20.2,573.18,E,22,Project Manager,10,1,54000.0,Source Verified,27,1,https://lendingclub.com/browse/loanDetail.action?loan_id=19386247,,debt_consolidation,Debt consolidation,432xx,OH,24.89,0,Apr-82,1,20,0,88.4,29,1,INDIVIDUAL
121,48274635,51523362,4800,4800,4800.0,0,12.69,160.72,C,11,Academic Advisor,2,0,37000.0,Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=48274635,,home_improvement,Home improvement,302xx,GA,11.75,0,Feb-06,0,20,0,63.2,29,0,INDIVIDUAL
135,39641786,42465624,25000,25000,25000.0,1,18.54,642.18,E,20,Financial Analyst,10,0,75094.0,Source Verified,19,1,https://lendingclub.com/browse/loanDetail.action?loan_id=39641786,,debt_consolidation,Debt consolidation,328xx,FL,17.74,0,Dec-01,0,14,0,69.5,42,1,INDIVIDUAL
136,2444702,2926870,18500,18500,18500.0,0,11.14,606.84,B,6,Savannah River Nuclear Solutions,10,2,88000.0,Not Verified,44,1,https://lendingclub.com/browse/loanDetail.action?loan_id=2444702,,debt_consolidation,Debt Consolidation,298xx,SC,13.02,0,Sep-99,1,12,0,70.1,42,1,INDIVIDUAL
137,56009292,59671050,12600,12600,12600.0,1,16.99,313.16,D,17,military,-1,2,40000.0,Verified,13,1,https://lendingclub.com/browse/loanDetail.action?loan_id=56009292,,credit_card,Credit card refinancing,810xx,CO,37.88,0,Apr-74,2,11,1,31.0,32,1,INDIVIDUAL
140,3350435,4153224,21000,21000,20925.0,0,8.9,667.2,A,4,Windstream,10,2,95132.0,Verified,43,1,https://lendingclub.com/browse/loanDetail.action?loan_id=3350435,Borrower added on 02/06/13 > This loan will restructure my debt to be more affordable and allow me to reduce my current debt load much faster than I can currently. I am working on eliminating my credit card debt as soon as possible. Thanks!<br>,debt_consolidation,Debt Consolidation,274xx,NC,26.1,0,Mar-90,0,23,0,77.7,43,0,INDIVIDUAL
160,60396955,64383718,15600,15600,15600.0,0,13.99,533.06,C,13,server,2,0,40000.0,Not Verified,12,1,https://lendingclub.com/browse/loanDetail.action?loan_id=60396955,,debt_consolidation,Debt consolidation,088xx,NJ,12.67,0,Mar-02,4,15,2,13.8,32,0,INDIVIDUAL
178,46558157,49695948,19800,19800,19800.0,0,11.53,653.17,B,9,Tech,7,2,80000.0,Source Verified,17,1,https://lendingclub.com/browse/loanDetail.action?loan_id=46558157,,credit_card,Credit card refinancing,010xx,MA,22.02,0,Mar-09,0,10,0,49.6,22,1,INDIVIDUAL
188,51897008,55326735,35000,35000,35000.0,0,17.57,1257.75,D,18,conductor,5,2,85000.0,Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=51897008,,debt_consolidation,Debt consolidation,773xx,TX,20.86,0,Jun-05,0,13,0,41.9,27,1,INDIVIDUAL
200,87002934,93255675,8000,8000,8000.0,0,9.49,256.06,B,6,Strategic Analyst,10,2,83000.0,Source Verified,1,1,https://lendingclub.com/browse/loanDetail.action?loan_id=87002934,,home_improvement,Home improvement,617xx,IL,11.03,1,Dec-86,3,11,1,12.9,87,1,INDIVIDUAL
207,26028116,28481004,5600,5600,5600.0,0,9.17,178.71,B,5,server,1,0,67600.0,Source Verified,24,1,https://lendingclub.com/browse/loanDetail.action?loan_id=26028116,,credit_card,Credit card refinancing,221xx,VA,8.65,0,Oct-05,3,19,0,60.7,42,0,INDIVIDUAL
208,8615363,10387450,24925,24925,24875.0,0,9.67,800.28,B,5,Pastor,8,2,65000.0,Verified,34,1,https://lendingclub.com/browse/loanDetail.action?loan_id=8615363,,debt_consolidation,Consolidation Loan,403xx,KY,16.53,0,Apr-92,0,9,0,80.4,25,0,INDIVIDUAL
216,28723634,31256796,6000,6000,6000.0,0,13.98,204.72,C,12,communications operator,8,2,46000.0,Source Verified,23,1,https://lendingclub.com/browse/loanDetail.action?loan_id=28723634,,debt_consolidation,Debt consolidation,089xx,NJ,30.12,1,Feb-05,0,8,0,73.0,18,0,INDIVIDUAL
247,65725734,70358537,7500,7500,7500.0,0,12.05,249.25,C,10,Consumer Services,3,0,35000.0,Source Verified,10,1,https://lendingclub.com/browse/loanDetail.action?loan_id=65725734,,debt_consolidation,Debt consolidation,857xx,AZ,22.35,0,Jan-89,0,18,0,47.6,34,1,INDIVIDUAL
253,74261261,79627974,2300,2300,2125.0,0,16.29,80.89,D,15,crew chief,2,0,40000.0,Source Verified,6,1,https://lendingclub.com/browse/loanDetail.action?loan_id=74261261,,debt_consolidation,Debt consolidation,751xx,TX,19.23,0,Apr-12,0,14,0,31.6,20,0,INDIVIDUAL
273,5434682,3958328,17625,17625,17625.0,1,23.76,504.68,F,28,Halliburton,1,2,40000.0,Verified,39,1,https://lendingclub.com/browse/loanDetail.action?loan_id=5434682,Borrower added on 05/21/13 > Just need a little help with bills<br>,debt_consolidation,A little help,757xx,TX,32.5,0,Jul-02,1,11,0,73.6,40,0,INDIVIDUAL
281,22323494,24646199,18000,18000,18000.0,0,11.67,594.74,B,8,Senior Advanced Technical Support,10,0,120000.0,Source Verified,26,1,https://lendingclub.com/browse/loanDetail.action?loan_id=22323494,,debt_consolidation,Debt consolidation,787xx,TX,11.1,0,Jan-96,3,10,0,74.7,23,0,INDIVIDUAL
289,1570923,1838751,18000,18000,17925.0,1,19.72,474.0,D,19,kaiser hospital,10,2,49000.0,Verified,47,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1570923,Borrower added on 09/26/12 > This loan is to help pay a remaining balance on a car.<br>,major_purchase,Major purchase,923xx,CA,28.34,1,Dec-87,0,12,0,78.3,38,0,INDIVIDUAL
296,14447893,16500292,19500,19500,19500.0,1,14.16,455.58,C,11,oil field service,6,2,59000.0,Not Verified,29,1,https://lendingclub.com/browse/loanDetail.action?loan_id=14447893,,debt_consolidation,Debt consolidation,749xx,OK,22.29,0,Aug-07,0,13,0,62.0,20,0,INDIVIDUAL
