,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,initial_list_status,application_type,RESULT
0,24706085,27148930,16425,16425,16425.0,0,12.99,553.3,C,10,Administrative Operations Coordinator,10,2,48619.16,Source Verified,25,0,https://lendingclub.com/browse/loanDetail.action?loan_id=24706085,,debt_consolidation,Debt consolidation,294xx,SC,24.2,0,Mar-94,0,8,0,55.5,16,1,INDIVIDUAL,RIGHT
1,7046481,8708612,16000,16000,15950.0,0,10.64,520.92,B,6,Metropolitan Transit Athrty of Harris Ct,6,0,96000.0,Not Verified,36,0,https://lendingclub.com/browse/loanDetail.action?loan_id=7046481,,debt_consolidation,Credit Card Free,774xx,TX,15.16,0,May-00,0,8,0,76.2,11,0,INDIVIDUAL,WRONG
2,80629837,86354607,18000,18000,18000.0,0,18.25,653.04,D,17,Owner,10,0,100000.0,Not Verified,4,0,https://lendingclub.com/browse/loanDetail.action?loan_id=80629837,,small_business,Business,864xx,AZ,17.62,0,Jun-96,0,7,0,0.0,18,1,INDIVIDUAL,RIGHT
3,51997256,55427013,7000,7000,7000.0,0,9.17,223.36,B,6,Correction Officer III,1,0,34000.0,Not Verified,14,0,https://lendingclub.com/browse/loanDetail.action?loan_id=51997256,,credit_card,Credit card refinancing,773xx,TX,17.14,0,8-Jan,1,9,0,27.3,10,1,INDIVIDUAL,RIGHT
4,62062170,66254882,24000,24000,24000.0,0,8.18,754.06,B,5,ENGINEER/EXECUTIVE,10,2,140000.0,Source Verified,11,0,https://lendingclub.com/browse/loanDetail.action?loan_id=62062170,,debt_consolidation,Debt consolidation,787xx,TX,10.03,3,Oct-89,0,6,0,54.2,20,0,INDIVIDUAL,RIGHT
5,34403875,37067277,21875,21875,21875.0,1,19.99,579.64,E,22,driver,10,2,53550.0,Source Verified,22,0,https://lendingclub.com/browse/loanDetail.action?loan_id=34403875,,debt_consolidation,Debt consolidation,490xx,MI,37.2,0,Sep-95,1,12,0,90.2,29,1,INDIVIDUAL,WRONG
6,46787274,49935170,15000,15000,15000.0,0,13.33,507.39,C,12,Billing Supervisor,10,1,48000.0,Source Verified,16,0,https://lendingclub.com/browse/loanDetail.action?loan_id=46787274,,debt_consolidation,Debt consolidation,563xx,MN,31.88,0,3-Oct,0,11,0,63.0,18,0,INDIVIDUAL,WRONG
7,60606771,64627541,17000,17000,17000.0,0,7.89,531.87,A,4,Cell Site Technician,10,2,55307.0,Verified,12,0,https://lendingclub.com/browse/loanDetail.action?loan_id=60606771,,debt_consolidation,Debt consolidation,738xx,OK,17.16,0,May-89,0,6,0,49.9,16,1,INDIVIDUAL,RIGHT
8,61368823,65487561,6000,6000,6000.0,0,8.18,188.58,B,5,Supervisor,9,2,74123.0,Not Verified,11,0,https://lendingclub.com/browse/loanDetail.action?loan_id=61368823,,major_purchase,Major purchase,936xx,CA,7.35,1,3-Aug,0,4,0,56.9,8,1,INDIVIDUAL,RIGHT
9,88095126,94375911,16000,16000,16000.0,0,5.32,481.72,A,0,Director - Learning and Development,8,2,110000.0,Not Verified,1,0,https://lendingclub.com/browse/loanDetail.action?loan_id=88095126,,debt_consolidation,Debt consolidation,019xx,MA,24.29,0,Jun-92,0,11,0,79.5,20,1,INDIVIDUAL,RIGHT
